job_title,skills_text,clean_title,role_label
Data Scientist I,about mozn mozn is a leading enterprise ai company enabling organizations to make informed decisions in two critical domains financial crime prevention and enterprise knowledge intelligence were a diverse collaborative team of innovators united by a shared purpose to build ai that delivers tangible business value builds trust and empowers people and organizations with augmented intelligence our culture is built on the relentless pursuit of excellence and meaningful impact if youre passionate about working alongside exceptional talent on worldclass ai and you want the autonomy and runway to do the best work of your career join us in shaping the future of intelligent enterprises about the role the mozn brand is alive within a plethora of stakeholder touchpoints and therefore the most suitable candidate for the data scientist i position would have an interest in financial fraud detection sanction screening know your customer kyc procedures antimoney laundering aml initiatives and emerging generative ai technologies as a data scientist i you will support the development of analytical and aidriven solutions to help detect and prevent fraudulent activities and mitigate aml risks under close guidance what youll do support the development of fraud detection aml and generative ai use cases assist in building and testing ml and genai models eg prompt engineering rag pipelines prepare clean and analyze structured and unstructured data support the training evaluation and deployment of ml models assist with experimentation using llms for tasks such as document analysis alert summarization or data enrichment execute assigned tasks within project plans under supervision stay informed about industry trends related to fraud aml and generative ai qualifications bachelors degree in data science ai machine learning mathematics statistics or a related field 02 years of experience in data science or analytics basic understanding of ml concepts and exposure to generative ai or llms proficiency in sql and python experience with data extraction cleaning and basic visualization familiarity with model evaluation and feature engineering concepts proficiency in english arabic is a plus strong problemsolving skills attention to detail and eagerness to learn benefits you will be at the forefront of an exciting time for the middle east joining a highgrowth rocketship in an exciting space you will be given a lot of responsibility and trust we believe that the best results come when the people responsible for a function are given the freedom to do what they think is best the fundamentals will be taken care of competitive compensation toptier health insurance and an enabling culture so that you can focus on what you do best you will enjoy a fun and dynamic workplace working alongside some of the greatest minds in ai we believe strength lies in difference embracing all for who they are and empowered to be the best version of themselves,data scientist i,data scientist
Strategic Data Scientist — Predictive Analytics & Insights,a data solutions company located in riyadh is seeking a data scientist to analyze and model complex datasets the role includes developing statistical models and machine learning algorithms while collaborating with crossfunctional teams to drive datadriven decisionmaking the ideal candidate should have a relevant degree and 25 years of experience in data science proficiency in python and data analysis tools is essential for this position this role is critical to enhancing organizational performance through actionable insights j18808ljbffr,strategic data scientist predictive analytics insights,data scientist
Data Scientist,the data scientist is responsible for delivering high quality technology capabilities supporting smart sustainable developments key responsibilities design implement and support solutions aligned with organizational strategy engage stakeholders to translate requirements into effective outcomes ensure reliability security and performance of platforms and systems support operations deployment and continuous improvement initiatives maintain documentation standards and compliance requirements bachelor degree in engineering information technology or related discipline proven experience in a similar role within complex environments strong communication analytical and problem solving skills ability to work collaboratively across multidisciplinary teams experience with sustainable smart digital programs is an advantage,data scientist,data scientist
Data Scientist - Digital & AI Projects (Saudi Arabia),eram talent is on the lookout for a talented data scientist specializing in digital ai projects to join our clients team in saudi arabia this role is perfect for an innovative thinker who is eager to harness data analytics and artificial intelligence to drive impactful business solutions as part of our rapidly growing team you will be pivotal in developing advanced analytical models and ai frameworks that directly contribute to enhancing efficiency and operational excellence if selected the work location would be onsite at saudi arabia responsibilities originates and carries out studies to identify potential advanced analytics use cases and applications to existing problems resolve complex technical problems increase revenue optimize processes protect the environment or improve safety using their advanced analyticsdata science background examines the business problem and identifies the required learning task i e classification clustering regression forecasting etc selects appropriate machine learning algorithms suited for the selected learning task and conditionstructure of the data this includes but not limited to decision treesforest support vector machines knn neural network and deep learning builds and deploys predictive models using algorithms such as linearlogisticdynamic regression to address the business needs this position requires not only technical expertise but also the ability to translate complex findings into understandable recommendations for stakeholders the position include collaborating with crossfunctional teams to identify opportunities for ai integration creating predictive models and delivering actionable insights that guide strategic decisions bachelors or masters degree in computer science data science statistics or a related field with a minimum of 8 years of work experience expertise in statistics machine learning time series deep learning nlp foundation models knowledge of python api other machine learning frameworks is a must experience with selecting appropriate machine learning algorithms building predictive and forecasting models and solution deployment and maintenance is desirable experience with deployment of advanced analytics solutions based on machine learning techniques in upstream and downstream processes will be an asset knowledge of plant automation systems standard real time interfaces such as opc and process historians such as pi is desirable experience with identification of new advanced analytics use cases business value quantification and working with multidisciplinary teams on delivering analytics solutions will be an asset awareness of digital transformation area and experience with delivering digitalization initiatives will be an asset,data scientist digital ai projects saudi arabia,data scientist
Data Scientist Specialist,job req id 17038 description aramco energizes the world economy aramco occupies a special position in the global energy industry we are one of the worlds largest producers of hydrocarbon energy and chemicals with among the lowest upstream carbon intensities of any major producer with our significant investment in technology and infrastructure we strive to maximize the value of the energy we produce for the world along with a commitment to enhance aramcos value to society headquartered in the kingdom of saudi arabia and with offices around the world we combine market discipline with a generations spanning view of the future born of our nine decades experience as responsible stewards of the kingdoms vast hydrocarbon resources this responsibility has driven us to deliver significant societal and economic benefits to not just the kingdom but also to a vast number of communities economies and countries that rely on the vital and reliable energy that we supply we are one of the most profitable companies in the world as well as amongst the top five global companies by market capitalization overview we are seeking a data scientist specialist to our downstream transformation business excellence department dstbed dstbed empowers the downstream admin areas with advanced analytics digital tools and datadriven insights to improve reliability optimize operations accelerate decisionmaking and enable strategic digital transformation the organization is responsible for designing advanced analytical models developing scalable digital solutions and supporting enterpriselevel digital programs your primary role is to design develop and operationalize advanced machine learning models that support downstream optimization predictive maintenance and performance enhancement you will work with complex datasets apply advanced statistical and ai techniques and ensure models deliver measurable value across operational areas key responsibilities as the successful candidate you will be required to perform the following develop machine learning statistical and predictive models for downstream operational use cases assess data quality perform data cleansing and prepare datasets for model development explore advanced analytical techniques such as deep learning timeseries modelling anomaly detection and optimization algorithms validate test and refine models to ensure accuracy reliability and stability prepare technical documentation and present analytical results to stakeholders support integration of models into digital platforms and operational systems evaluate emerging data science methods and recommend approaches that improve model performance collaborate with engineers analysts and solution architects to translate operational challenges into datadriven solutions minimum requirements you will hold a bachelors degree in computer science data science engineering mathematics or a related field from a recognized and approved program you will have 15 years of experience in data science or advanced analytics including at least 10 years working on industrial analytics or digital solutions you will have strong knowledge of machine learning statistical modelling and data engineering techniques you must have proven experience developing and deploying models into production environments you will be able to demonstrate proficiency in python or similar programming languages experience with cloud platforms databases and visualization tools is preferred you will have the ability to translate complex data concepts into business insights work location and work schedule work location within saudi arabia to be specified in job offer work schedule full time to be specified in job offer job posting duration job posting start date 01292026 job posting end date 12312026 working environment our highperforming employees are drawn by the challenging and rewarding professional technical and industrial opportunities we offer and are remunerated accordingly at aramco our people work on truly worldscale projects supported by investment in capital and technology that is second to none and because as a global energy company we are faced with addressing some of the worlds biggest technical logistical and environmental challenges we invest heavily in talent development we have a proud history of educating and training our workforce over many decades employees at all levels are encouraged to improve their sectorspecific knowledge and competencies through our workforce development programs one of the largest in the world countryregion sa,data scientist,data scientist
Data Analyst - Junior level,about the role we are looking for a data analyst with at least one year of experience to join our growing data ai team at tarmeez capital in this role you will work closely with product business and data stakeholders to analyze data build dashboards and generate insights that directly influence decisionmaking youll be responsible for transforming raw data into clear metrics reports and narratives helping teams understand performance identify opportunities and measure impact across the organization key responsibilities analyze datasets to identify trends patterns and actionable insights build and maintain dashboards and reports for business product and leadership teams partner with product and business stakeholders to define kpis metrics and success criteria write efficient and reliable sql queries to extract and transform data from data warehouses perform adhoc analysis to support product launches experiments and operational decisions validate data accuracy and collaborate with data engineers to improve data quality and reliability translate analytical findings into clear concise insights for nontechnical audiences support experimentation and performance analysis eg funnels cohorts conversions requirements saudi national bachelors degree in data science statistics economics computer science or a related field 1 year of experience in a data analyst business analyst or analyticsfocused role strong proficiency in sql for data analysis and reporting experience working with data visualization tools such as metabase power bi tableau or similar solid understanding of metrics kpis and analytical best practices comfortable working with large datasets and multiple data sources strong analytical thinking and attention to detail ability to communicate insights clearly to both technical and nontechnical stakeholders preferred skills experience working with a data warehouse eg snowflake bigquery redshift basic knowledge of python for data analysis pandas numpy familiarity with ab testing funnel analysis or cohort analysis experience in fintech finance or investmentrelated analytics understanding of data modeling concepts and analytics engineering workflows dbt is a plus exceptions all of the above can be ignored if you can demonstrate a proven record of exceptional work through a github portfolio research or deployed projects,data analyst level,data analyst
Lead Data Scientist (Fintech / Banking),about us where elite tech talent meets worldclass opportunities at xenon7 we work with leading enterprises and innovative startups on exciting cuttingedge projects that leverage the latest technologies across various domains of it including data web infrastructure ai and many others our expertise in it solutions development and ondemand resources allows us to partner with clients on transformative initiatives driving innovation and business growth whether its empowering global organizations or collaborating with trailblazing startups we are committed to delivering advanced impactful solutions that meet todays most complex challenges about the client join one of egypts premier financial institutions renowned for its extensive suite of banking services including institutional banking personal banking and islamic banking with a global presence through over 50 branches and correspondents we serve a diverse and dynamic clientele as we embark on a groundbreaking digital transformation journey we are committed to leveraging the latest technologies to establish a stateoftheart data architecture that will redefine our performance and service delivery requirements role overview we are seeking a lead data scientist fintech banking with 8 years of experience to drive advanced analytics machine learning initiatives and datadriven decisionmaking across our fintechbanking product ecosystem the ideal candidate has a strong track record of leading highperforming teams 510 members delivering scalable ml solutions and operating with high agility in fastpaced environments key responsibilities leadership strategy lead mentor and grow a team of 510 data scientists and ml engineers define the data science roadmap aligned with business product and engineering goals drive endtoend ownership of ml models from ideation to deployment and monitoring collaborate with crossfunctional stakeholders product engineering risk compliance business technical execution build and optimize predictive models for credit risk fraud detection customer segmentation churn prediction and personalization architect scalable ml pipelines using modern data platforms conduct exploratory data analysis feature engineering and model validation ensure model governance fairness explainability and regulatory compliance especially in bfsi operational excellence champion agile methodologies rapid experimentation and iterative delivery implement best practices in versioning cicd for ml and model monitoring translate complex data insights into clear actionable business recommendations required skills experience 8 years of handson experience in data science ml or applied ai proven experience leading teams of 510 in highvelocity environments strong background in fintech digital banking payments lending or risk analytics expertise in python sql ml frameworks tensorflow pytorch scikitlearn cloud platforms aws gcp azure mlops tools sagemaker mlflow kubeflow airflow deep understanding of statistical modeling supervisedunsupervised learning nlp and timeseries forecasting experience working with largescale data pipelines and distributed systems strong communication skills with the ability to influence senior stakeholders high agility ownership mindset and a positive collaborative attitude preferred qualifications experience in credit scoring fraud analytics or regulatorygrade model development exposure to realtime decisioning systems prior experience in startups or highgrowth fintechs what we offer opportunity to lead highimpact data science initiatives in a rapidly scaling fintech environment crossfunctional ownership and autonomy competitive compensation and performancebased rewards collaborative innovationdriven culture,data scientist fintech banking,data scientist
Expert Data Scientist,role summary the expert data scientist is responsible for developing advanced ai and machine learning models performing complex data analysis designing endtoend ai solutions and supporting technical teams in delivering datadriven initiatives the role requires strong technical expertise analytical depth and the ability to translate data into impactful solutions key responsibilities 1 data analysis modeling collect clean transform and analyze data from different sources perform exploratory data analysis eda to identify trends and patterns design develop and validate machine learning and ai models select appropriate algorithms and techniques for each use case evaluate model performance using industrystandard metrics accuracy precision recall f1 auc optimize and finetune models to enhance performance 2 solution implementation deploy machine learning models into production environments collaborate with data engineers and mlops engineers on pipelines and deployment workflows build scalable data pipelines for processing large datasets monitor and update deployed models to ensure continuous performance 3 technical project support provide expert consultation on ai solutions and model design identify required data sources and support the data acquisition process participate in technical discussions with clients and internal teams support user acceptance testing uat from a technical perspective 4 documentation reporting document modeling processes methodologies and analytical results prepare technical reports and present findings clearly to technical and nontechnical audiences maintain proper documentation for model design and deployment language requirement fluent arabic mandatory experience level 5 years in data science ai machine learning sector ai projects digital transformation advanced analytics education bachelors degree in computer science artificial intelligence data science statistics or a related field preferred certifications machine learning deep learning data science certifications ai ml specializations required skills expertise deep knowledge of machine learning deep learning and data science methodologies strong proficiency in python essential experience with ml and data libraries tensorflow or pytorch scikitlearn pandas numpy handson experience with visualization tools power bi tableau understanding of mlops concepts and data engineering fundamentals experience working with large datasets and implementing data mining techniques preferred experience previous experience in saudi arabia public or private sector experience in ai projects involving vision nlp or sensor data familiarity with endtoend ai development lifecycle,expert data scientist,data scientist
Senior Data Scientist - Riyadh,about mozn mozn is a rapidly growing and leading data science product development firm based in riyadh with a proven track record of excellence in supporting and growing the analytics ecosystem in saudi arabia mozn is a trusted analytics partner for the largest government organizations in saudi arabia as well as many large corporations and startups we are in a critical stage of scaling the company to build institutional analytics knowledge within mozn and saudi arabia it is an exciting time to work in saudi arabia through vision 2030 the rate of social and industrial change is staggering about the role we are searching for a strategic and inquisitive data scientist as a member of mozns data science team you will work with crossdisciplinary teams to identify the problems to be solved specify the problems in mathematical and statistical terms scope out the projectproduct in collaboration with your team and external stakeholders and then go about answering the identified questions you find insights that spur teams and stakeholders to improve their businessproduct and drive value for internal and external stakeholders what youll do work with crossfunctional teammates from engineering products business and marketing to deliver datapowered solutions communicate highly technical results and methods clearly to a wide variety of external clients analyze and extract insights from multiple and complex datasets through regression analysis hypothesis testing and other machine learning techniques develop and apply new machine learning techniques to ensure modern yet optimal approaches are applied to mozns solutions develop data pipelines and ingestion engines for natural language understanding andor risk management as well as contribute to current engines at mozn engage with stakeholders to identify and define the scope of challenges and propose datapowered solutions staying informed with new frameworks and technological advances to increase mozns efficiency and productivity coordinate with internal teams to set up and execute solution development strategies overseeing a large technical area of work defining project priorities and technical solutions qualifications bs or ms in computer science statistics mathematics or similar quantitative fields relevant experience as a data scientist or in similar fields that require developing mlai models over 3 years for bs degree and over 2 years for ms programming experience over two years in software development including objectoriented programming and data manipulation using python or other languages good understanding of statistics and probability such as hidden markov models probabilistic graphical models or bayesian inference applied experience in machine learning such as diagnosing models and modifying loss functions experience in deep learning frameworks such as pytorch expertise in natural language understanding andor probabilistic machine learning applications benefits why mozn you will be at the forefront of an exciting time for the middle east joining a highgrowth rocketship in an exciting space you will be given a lot of responsibility and trust we believe that the best results come when the people responsible for a function are given the freedom to do what they think is best the fundamentals will be taken care of competitive compensation toptier health insurance and an enabling culture so that you can focus on what you do best you will enjoy a fun and dynamic workplace working alongside some of the greatest minds in ai we believe strength lies in difference embracing all for who they are and empowered to be the best version of themselves,data scientist riyadh,data scientist
Data Scientist — ML & Analytics (6-Month Contract),a data solutions provider in the riyadh region is seeking a skilled data scientist for a 6month contract the role involves utilizing machine learning statistical analysis and data modeling to extract insights from complex data responsibilities include analyzing data sets developing predictive models and collaborating with teams to enhance business performance candidates should have a related degree and proficiency in programming languages like python or r j18808ljbffr,data scientist ml analytics month contract,data scientist
